nombre;razon_social;tipo_sociedad;correo;id_qb;ruc;dv;nit;pago_tasa_unica;fecha_inscripcion;created_at;client_id;presidente_id;tesorero_id;secretario_id
AJIMKA, S.A.;AJIMKA, S.A.;SOCIEDADES;;23;;;;;;01/19/2026 13:33;032f7e54-358a-4dae-81d1-6965a9f4b9c4;;;
ALEX BALSAC ABREGO GONZALEZ;ALEX BALSAC ABREGO GONZALEZ;SOCIEDADES;;905;;;;;;01/19/2026 13:33;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
ALPHA MEDIQ, S.A.;ALPHA MEDIQ, S.A.;SOCIEDADES;;953;;;;;;01/19/2026 13:33;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
ALTOSANO INVESTMENT CORP.;ALTOSANO INVESTMENT CORP.;SOCIEDADES;saldarriagajp@outlook.com;526;;;;;;01/19/2026 13:33;8e8cc3bc-006d-4257-b999-4b0bbe14155c;;;
AMARU TRADING CORP.;AMARU TRADING CORP.;SOCIEDADES;ezanira@pim-sa.com.pa;1112;;;;;;01/19/2026 13:33;fd9ea855-6b62-4ccd-9aff-3b7acf91fb99;;;
AMAZING JOURNEY CORP.;AMAZING JOURNEY CORP.;SOCIEDADES;samuel_vainberg@yahoo.com;115;;;;;;01/19/2026 13:33;aee5cd66-e2fd-4a07-a4e2-328045ce143f;;;
AMBIENTES EPI, S.A.;AMBIENTES EPI, S.A.;SOCIEDADES;aschatzky@gmail.com;398;155661314-2-2018;64;COHENRICHA2025;15 Julio;;01/19/2026 13:33;3776b58d-4dcb-42b6-94e0-59bc5efa1aeb;;;
AMBROSIA TRADING INC.;AMBROSIA TRADING INC.;SOCIEDADES;roy.kartaram@kings.sr;387;;;;;;01/19/2026 14:58;4b50e820-3117-477a-bfc5-60d1bf02473c;;;
AMERICAS BRICKSON S DE R.L.;AMERICAS BRICKSON S DE R.L.;SOCIEDADES;jcg@athsport.com;305;;;;;;01/19/2026 14:58;e56dfa38-0f6c-47e8-b8e3-2ea9d91f20b4;;;
AMERICAS UNITED G3 CORP.;AMERICAS UNITED G3 CORP.;SOCIEDADES;;593;;;;;;01/19/2026 14:58;e56dfa38-0f6c-47e8-b8e3-2ea9d91f20b4;;;
ANA MARIA GOMEZ;ANA MARIA GOMEZ;SOCIEDADES;anamago99@icloud.com;1082;;;;;;01/19/2026 14:58;0638baf6-dae2-4615-8970-a6ae2f9ae769;;;
ANDEAN MINING, CORP.;ANDEAN MINING, CORP.;SOCIEDADES;ramada@etb.net.co;4;;;;;;01/19/2026 14:58;5527d882-28e8-466a-a9e2-888ef9cc0936;;;
ANDRES CARRASCO SANCHEZ;ANDRES CARRASCO SANCHEZ;SOCIEDADES;;793;;;;;;01/19/2026 14:58;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
ANEMOR, S.A;ANEMOR, S.A;SOCIEDADES;;469;;;;;;01/19/2026 14:58;7f56667b-d9c6-4530-8989-5c39f38206c3;;;
ANEMOR, S.A.;ANEMOR, S.A.;SOCIEDADES;ygordon@ancori.com;737;;;;;;01/19/2026 14:58;2a22b7e0-973c-442b-ab16-66e3b956efd4;;;
ARCADIA DEVELOPMENT GROUP, S.A.;ARCADIA DEVELOPMENT GROUP, S.A.;SOCIEDADES;;699;;;;;;01/19/2026 14:58;d221c229-6e3f-4143-bcc2-f88cf9a6c8cb;;;
ARCALIA INVESTMENT, CORP.;ARCALIA INVESTMENT, CORP.;SOCIEDADES;auditadvisor@gmail.com;198;;;;;;01/19/2026 14:58;b7616e2d-68a5-48c8-a4db-6352225d7773;;;
ARDA ELECTRONICS, S.A.;ARDA ELECTRONICS, S.A.;SOCIEDADES;ma.quintana@tiendasdaka.com;474;;;;;;01/19/2026 14:58;d5c5f951-2cd2-49b2-8dee-3abd9330068d;;;
ARKOS INVESTMENT CORP.;ARKOS INVESTMENT CORP.;SOCIEDADES;pinchas62@yahoo.com;113;;;;;;01/19/2026 14:58;5a425f28-154a-4351-955d-c8ce3f68b515;;;
ARPON NEGRO, S.A.;ARPON NEGRO, S.A.;SOCIEDADES;;1037;;;;;;01/19/2026 14:58;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
ASEO CAPITAL;ASEO CAPITAL;SOCIEDADES;ktorres@ancori.com;830;;;;;;01/19/2026 14:58;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
ASESORIA COMERCIAL DE EMPRESAS;ASESORIA COMERCIAL DE EMPRESAS;SOCIEDADES;mestre2209@gmail.com;792;;;;;;01/19/2026 14:58;0750e4d0-292f-41c0-9fb8-99a1ab32d33d;;;
ASOCIACION AMIGOS DE LA UNIVERSIDAD DE;ASOCIACION AMIGOS DE LA UNIVERSIDAD DE;SOCIEDADES;;653;;;;;;01/19/2026 14:58;eb89d615-b94d-459d-8d91-32ea8ef5c372;;;
ATLANTE INVESTMENT, S.A.;ATLANTE INVESTMENT, S.A.;SOCIEDADES;;816;;;;;;01/19/2026 14:58;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
AVENTURA TOWER 10A, S.A.;AVENTURA TOWER 10A, S.A.;SOCIEDADES;;996;;;;;;01/19/2026 14:58;ee6d8a84-7f4d-433f-aa4a-20451970d409;;;
AVENTURA TOWER 10B, S.A.;AVENTURA TOWER 10B, S.A.;SOCIEDADES;ycaballero@alliancegroupca.com;1004;;;;;;01/19/2026 14:58;7a3023b3-6844-404a-8398-682f1f27fcf3;;;
AVIODIRECT, S.A.;AVIODIRECT, S.A.;SOCIEDADES;ktorres@ancori.com;1275;;;;;;01/19/2026 14:58;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
AXON PETROLEUM CORP;AXON PETROLEUM CORP;SOCIEDADES;gerencia.administrativa@quantumresources.co;409;;;;;;01/19/2026 14:58;5e67b159-a5fc-4aec-bf81-b500583049f9;;;
AYELET, S.A.;AYELET, S.A.;SOCIEDADES;;864;;;;;;01/19/2026 14:58;2dd87901-df1b-4ea1-b5b8-20469f93ad53;;;
BAGATRAC, S.A.;BAGATRAC, S.A.;SOCIEDADES;;486;;;;;;01/19/2026 14:58;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
BAGATRAC, S.A. 1;BAGATRAC, S.A. 1;SOCIEDADES;;807;;;;;;01/19/2026 14:58;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
BAHIA GOLF 13-B 400, S. A.;BAHIA GOLF 13-B 400, S. A.;SOCIEDADES;;197;;;;;;01/19/2026 14:58;860959d9-6959-4726-8ead-db95fffa345b;;;
BALAKONG INVESTMENT CORPORATION;BALAKONG INVESTMENT CORPORATION;SOCIEDADES;nataly.zabala@agrosantamaria.com;1040;;;;;;01/19/2026 14:58;be8597e8-a87a-4609-98f1-712a6095ff09;;;
BAMBOLINO INVESTMENTS S.A.;BAMBOLINO INVESTMENTS S.A.;SOCIEDADES;jamesabc04@hotmail.com;813;;;;;;01/19/2026 14:58;e678814c-b877-4689-851e-7813380936f1;;;
BARRIO DORADO, S.A. 1;BARRIO DORADO, S.A. 1;SOCIEDADES;;915;;;;;;01/19/2026 14:58;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
BASNOLI, S.A;BASNOLI, S.A;SOCIEDADES;eduardo.gallego@coleycolegal.com;41;;;;;;01/19/2026 14:58;210baa19-9a0a-46b7-bbf4-25a6578623d3;;;
BAY FRONT 2001, S.A.;BAY FRONT 2001, S.A.;SOCIEDADES;;1049;;;;;;01/19/2026 14:58;4e2086a5-5521-4718-8df5-ada9ac358f6b;;;
BAYSIDE CAPITAL GROUP PANAMA, S.A.;BAYSIDE CAPITAL GROUP PANAMA, S.A.;SOCIEDADES;jamesabc04@hotmail.com;672;;;;;;01/19/2026 14:58;d7e9b44f-9412-4078-bf65-288d57dcc16b;;;
BBL BLACK LOGISTICS OVERSEAS CORP.;BBL BLACK LOGISTICS OVERSEAS CORP.;SOCIEDADES;dvishnoff@cspdirect.com;116;;;;15 Julio;03/16/2011;01/19/2026 14:59;50530eca-e7b5-4013-8554-da51fb92d41e;e9244c9c-97e9-48e8-a72b-f5e1d01f1b51;2dba50fc-a6d8-4436-b113-0a8714de6174;d95af47a-13f5-4542-ba01-ac156fce4a46
BC NETWORK PANAMA, S.A.;BC NETWORK PANAMA, S.A.;SOCIEDADES;hjimenez@bcnetwork.co.cr;665;;;;;;01/19/2026 14:59;6c4f3e50-7d0b-4b94-8e29-5c3ac0078621;;;
BC-1 TRADING, S.A.;BC-1 TRADING, S.A.;SOCIEDADES;administracion@ancori.com;348;;;;;;01/19/2026 14:59;a1d0cc56-15c3-42cf-bf97-1e2b3dd78155;;;
BEBESH, S.A.;BEBESH, S.A.;SOCIEDADES;nataly.zabala@agrosantamaria.com;1038;;;;;;01/19/2026 14:59;f9422a50-18ff-4cbc-a411-ddc26e3b89de;;;
BEGA INVERSIONES, S.A.;BEGA INVERSIONES, S.A.;SOCIEDADES;gestionprocesos@dojeans.com.co;341;;;;;;01/19/2026 14:59;f9c54962-559c-4afd-85a6-c7e658835d08;;;
CAMIFLOR TRADING, S.A.;CAMIFLOR TRADING, S.A.;SOCIEDADES;contabilidad2@dsederia.com;622;;;;;;01/19/2026 14:59;6563aa17-c346-4887-9ecc-3ac3e99f1f8e;;;
CAP RENT, S.A. 1;CAP RENT, S.A. 1;SOCIEDADES;;770;;;;;;01/19/2026 14:59;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
CAPACOL, S.A.;CAPACOL, S.A.;SOCIEDADES;;926;;;;;;01/19/2026 14:59;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
CAPITAL BANK INC.;CAPITAL BANK INC.;SOCIEDADES;;49;;;;;;01/19/2026 14:59;0758f781-1f5d-4128-819e-6399e4dba6a7;;;
CARGAS LARRINAGA, S.A.;CARGAS LARRINAGA, S.A.;SOCIEDADES;;924;;;;;;01/19/2026 14:59;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
CARIBBEAN INTERNATIONAL FOODS INC.;CARIBBEAN INTERNATIONAL FOODS INC.;SOCIEDADES;;797;;;;;;01/19/2026 14:59;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
CARIBBEAN INVESTORS GROUP BVI;CARIBBEAN INVESTORS GROUP BVI;B.V.I.;carmen@benbetesh.com;272;;;;;;01/19/2026 14:59;11c723b4-6066-4a98-93d1-7bf8a3762d0d;;;
CAROL DIWAN DE HALLAK;CAROL DIWAN DE HALLAK;SOCIEDADES;;820;;;;;;01/19/2026 14:59;cd684db6-66dc-42f0-9503-5c8718b24d13;;;
CAROLINGE INVESTMENTS CORP.;CAROLINGE INVESTMENTS CORP.;SOCIEDADES;jacobo@dimarkdecol.com;534;;;;;;01/19/2026 14:59;e678814c-b877-4689-851e-7813380936f1;;;
CASA FASKHA, S.A.;CASA FASKHA, S.A.;SOCIEDADES;;810;;;;;;01/19/2026 14:59;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
CASA MILANO GLOBAL MARKET, S.A.;CASA MILANO GLOBAL MARKET, S.A.;SOCIEDADES;solnguevara@gmail.com;351;;;;;;01/19/2026 14:59;26b0a557-b87e-45cb-8dbc-f89b7d5406dd;;;
CASABLANCA PANAMA GLOBAL 98 INC;CASABLANCA PANAMA GLOBAL 98 INC;SOCIEDADES;solguevara@casablancacolombia.co;342;;;;;;01/19/2026 14:59;26b0a557-b87e-45cb-8dbc-f89b7d5406dd;;;
CASCOS MARINOS, S.A. 1;CASCOS MARINOS, S.A. 1;SOCIEDADES;;827;;;;;;01/19/2026 14:59;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
CASHMAN INVESTMENTS, S.A.;CASHMAN INVESTMENTS, S.A.;SOCIEDADES;edixon@europma.com;128;;;;;;01/19/2026 14:59;e8f1ddaa-53a4-4465-85b3-4d5670584e57;;;
CATAGLAN INVESTMENT, INC.;CATAGLAN INVESTMENT, INC.;SOCIEDADES;nelson@roaroa.net;18;;;;;;01/19/2026 14:59;4e2086a5-5521-4718-8df5-ada9ac358f6b;;;
CELI DE ABREU RODRIGUEZ;CELI DE ABREU RODRIGUEZ;SOCIEDADES;;822;;;;;;01/19/2026 14:59;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
CENTENNIAL OFFICE, S.A.;CENTENNIAL OFFICE, S.A.;SOCIEDADES;;884;;;;;;01/19/2026 14:59;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
CENTRAL 24, S.A.;CENTRAL 24, S.A.;SOCIEDADES;yaizuri.sanchez@mdm.com.pa;384;;;;;;01/19/2026 14:59;f007b140-38c2-496d-ba77-bfad16ae39ef;;;
CENTRAL AZUCARERO DE ALANJE, S.A.;CENTRAL AZUCARERO DE ALANJE, S.A.;SOCIEDADES;;429;;;;;;01/19/2026 14:59;df9c9fb2-b338-49c5-b126-22e8ff1060df;;;
CENTRO DE ORO, S.A.;CENTRO DE ORO, S.A.;SOCIEDADES;;852;;;;;;01/19/2026 14:59;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
CENTRO ODONTOLOGICO BAL HARBOUR, S.A.;CENTRO ODONTOLOGICO BAL HARBOUR, S.A.;SOCIEDADES;odesa4@hotmail.com;1089;;;;;;01/19/2026 14:59;9181b108-2035-48ff-914b-406d6d9dacac;;;
CHADBOURN CONSULTANTS CORP.;CHADBOURN CONSULTANTS CORP.;SOCIEDADES;eduardousr@yahoo.com;504;;;;;;01/19/2026 14:59;0c9a8b58-7105-4720-afc0-ea25dc0e6cae;;;
CHAIOT CORP.;CHAIOT CORP.;SOCIEDADES;malineoga@hotmail.com;379;;;;;;01/19/2026 14:59;99ffed0b-1b3a-4410-957c-69afd1447341;;;
CHALCIS INTERNATIONAL LTD BVI;CHALCIS INTERNATIONAL LTD BVI;B.V.I.;eduardousr@yahoo.com;518;;;;;;01/19/2026 14:59;b6c605fc-7d52-46b9-8af2-072442dd94a5;;;
CHANGED LATITUDE INC.;CHANGED LATITUDE INC.;SOCIEDADES;carquette@hubank.com;51;;;;;;01/19/2026 14:59;c89bc7c2-278f-419f-9c72-c48b9a52f67b;;;
CHISHTI TRADING, CORP.;CHISHTI TRADING, CORP.;SOCIEDADES;rasen@tramas.com.ve;158;;;;;;01/19/2026 14:59;b44f8510-f92e-4487-a542-4d93fb5c4bcf;;;
CHUMEC, S.A.;CHUMEC, S.A.;SOCIEDADES;tatiana@venqis.com;472;;;;;;01/19/2026 14:59;ad34a89a-30e8-4e09-824b-aba54ae7226d;;;
CIA. PINZON GROUP S.A;CIA. PINZON GROUP S.A;SOCIEDADES;;898;;;;;;01/19/2026 14:59;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
CIRCUVIEW, INC;CIRCUVIEW, INC;SOCIEDADES;yrapa@hotmail.com;703;;;;;;01/19/2026 14:59;00c60a3b-343c-4f34-bcb2-4a8fc07bd63f;;;
CIVILMEC PANAMA, S.A.;CIVILMEC PANAMA, S.A.;SOCIEDADES;;757;;;;;;01/19/2026 14:59;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
CL LOGISTICS CORP.;CL LOGISTICS CORP.;SOCIEDADES;;506;;;;;;01/19/2026 14:59;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
CLA DIRECT PANAMA, INC.;CLA DIRECT PANAMA, INC.;SOCIEDADES;sfrieder@cladirect.com;3;;;;;;01/19/2026 14:59;b5824d18-f02b-49a4-849b-492c39831e23;;;
CLC INTERNATIONAL FOUNDATION;CLC INTERNATIONAL FOUNDATION;FUNDACIONES;gabrimsk@gmail.com;706;;;;;;01/19/2026 14:59;f6efd13a-e1a1-4538-a2e3-a4b68c65774b;;;
CLEANWOOD GROUP, S.A.;CLEANWOOD GROUP, S.A.;SOCIEDADES;joel@alperto.com;1097;;;;;;01/19/2026 14:59;af1a67a8-390d-49eb-8e8a-8b21a315da71;;;
CLEARS SKY, S.A.;;SOCIEDADES;;1279;;;;;;01/19/2026 14:59;4ad8f3b2-c183-4d7c-9739-6d0885d8ea7c;;;
CLINICA Y SERV. HOSPITALARIOS PANAMERIC;CLINICA Y SERV. HOSPITALARIOS PANAMERIC;SOCIEDADES;;1105;;;;;;01/19/2026 14:59;df9c9fb2-b338-49c5-b126-22e8ff1060df;;;
CLINICAS Y SERVICIOS HOSPITALARIOS 1;CLINICAS Y SERVICIOS HOSPITALARIOS 1;SOCIEDADES;;976;;;;;;01/19/2026 14:59;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
CLUMBER CORPORATION;CLUMBER CORPORATION;SOCIEDADES;javarare@gmail.com;289;;;;;;01/19/2026 14:59;d4930a77-9704-4969-9c41-b84ca262f0e6;;;
COCLESANA DE DISTRIBUCION 1;COCLESANA DE DISTRIBUCION 1;SOCIEDADES;ygordon@ancori.com;904;;;;;;01/19/2026 14:59;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
COMERCIAL VENEZIA,S.A.;COMERCIAL VENEZIA,S.A.;SOCIEDADES;comercialvenezia@hotmail.com;31;;;;;;01/19/2026 14:59;151e6893-1ef3-42a2-9eaf-46a753cab7b9;;;
COMMERCIAL ZELECTA TRADING GROUP CORP.;COMMERCIAL ZELECTA TRADING GROUP CORP.;SOCIEDADES;lsolano@zelectatrading.com;347;;;;;;01/19/2026 15:00;8274643c-e6ce-49af-bdb7-8c1d8c97bb65;;;
COMERCIALIZADORA CLEAN TECHNOLOGIES;COMERCIALIZADORA CLEAN TECHNOLOGIES;SOCIEDADES;joel@alperto.com;412;;;;;;01/19/2026 15:00;af1a67a8-390d-49eb-8e8a-8b21a315da71;;;
COMERCIALIZADORA PUSA, S.A.;COMERCIALIZADORA PUSA, S.A.;SOCIEDADES;;994;;;;;;01/19/2026 15:00;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
CONFORMA, S.A.;CONFORMA, S.A.;SOCIEDADES;;952;;;;;;01/19/2026 15:00;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
CONSORCIO ASOBUZ;CONSORCIO ASOBUZ;SOCIEDADES;;1006;;;;;;01/19/2026 15:00;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
CONSORCIO AURORA, S.A.;CONSORCIO AURORA, S.A.;SOCIEDADES;;985;;;;;;01/19/2026 15:00;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
CONSORCIO CASA BONITA, S.A.;CONSORCIO CASA BONITA, S.A.;SOCIEDADES;lio@liomalca.com;235;;;;;;01/19/2026 15:00;808b43f3-1355-4177-be95-029606d6c60b;;;
CONSORCIO CECODSA, S.A.;CONSORCIO CECODSA, S.A.;SOCIEDADES;;803;;;;;;01/19/2026 15:00;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
CONSTRUCCIONES LOS PELOTERO;CONSTRUCCIONES LOS PELOTERO;SOCIEDADES;ygordon@ancori.com;946;;;;;;01/19/2026 15:00;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
CONSTRUCCIONES Y VENTAS GANA, S.A. 2;CONSTRUCCIONES Y VENTAS GANA, S.A. 2;SOCIEDADES;;811;;;;;;01/19/2026 15:00;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
CONSTRUCCIONES, PROYECTOS E INSPECCIONE 1;CONSTRUCCIONES, PROYECTOS E INSPECCIONE 1;SOCIEDADES;;741;;;;;;01/19/2026 15:00;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
CONSTRUCTORA CONCRETO, S.A.;CONSTRUCTORA CONCRETO, S.A.;SOCIEDADES;;579;;;;;;01/19/2026 15:00;210baa19-9a0a-46b7-bbf4-25a6578623d3;;;
CONSTRUCTORA DE LEON, S.A.;CONSTRUCTORA DE LEON, S.A.;SOCIEDADES;;960;;;;;;01/19/2026 15:00;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
CONSTRUCTORA LOPEZ, S.A.;CONSTRUCTORA LOPEZ, S.A.;SOCIEDADES;ktorres@ancori.com;258;;;;;;01/19/2026 15:00;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
CONSTRUCTORA MECO PANAMA, S.A.;CONSTRUCTORA MECO PANAMA, S.A.;SOCIEDADES;;1035;;;;;;01/19/2026 15:00;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
CONSTRUCTORA PACIFICO ATLANTICO, S.A.;CONSTRUCTORA PACIFICO ATLANTICO, S.A.;SOCIEDADES;ygordon@ancori.com,finanzas@ancori.com;1264;;;;;;01/19/2026 15:00;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
CONSTRUCTORA PANAMA VENTAS Y SERVICIOS;CONSTRUCTORA PANAMA VENTAS Y SERVICIOS;SOCIEDADES;;961;;;;;;01/19/2026 15:00;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
CONSTRUCTORA RIGASERVICES;CONSTRUCTORA RIGASERVICES;SOCIEDADES;ktorres@gmail.com;783;;;;;;01/19/2026 15:00;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
CONSTRUCTORA Y SERVICIOS ISIS HERRERA 1;CONSTRUCTORA Y SERVICIOS ISIS HERRERA 1;SOCIEDADES;;825;;;;;;01/19/2026 15:00;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
CONSULTING ALTERNATIVES CORP.;CONSULTING ALTERNATIVES CORP.;SOCIEDADES;abeldantec@gmail.com;154;;;;;;01/19/2026 15:00;14ae71c1-2f52-4686-bd9b-f3628db70f98;;;
CONSULTORIO PANAMEÑO EMPRESARIAL;CONSULTORIO PANAMEÑO EMPRESARIAL;SOCIEDADES;jcsalazar@salazarabogados.com;93;;;;;;01/19/2026 15:00;d2a0fcd5-dcac-477f-935c-613feaf38197;;;
CORAZON DEL UNIVERSO,S.A.;CORAZON DEL UNIVERSO,S.A.;SOCIEDADES;Shay@acuitytec.com;43;;;;;;01/19/2026 15:00;b7616e2d-68a5-48c8-a4db-6352225d7773;;;
CORONADO BAY 903, S.A.;CORONADO BAY 903, S.A.;SOCIEDADES;nelson@roaroa.net;58;;;;;;01/19/2026 15:00;4e2086a5-5521-4718-8df5-ada9ac358f6b;;;
CORP. DE INVERSIONES GRUPO CANAL, S. A.;CORP. DE INVERSIONES GRUPO CANAL, S. A.;SOCIEDADES;;193;;;;;;01/19/2026 15:00;5a5493b8-5b23-40b9-b3f2-aebb933480f2;;;
CORPORACION BBT, S.A.;CORPORACION BBT, S.A.;SOCIEDADES;;834;;;;;;01/19/2026 15:00;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
CORPORACION BELEKO, S.A.;CORPORACION BELEKO, S.A.;SOCIEDADES;rboada@civuelven.com;1098;;;;;;01/19/2026 15:00;ff257c63-804a-4d5b-bb61-8ddd0a0fea06;;;
CORPORACION CONSOLIDADA DE SEGURIDAD;CORPORACION CONSOLIDADA DE SEGURIDAD;SOCIEDADES;;982;;;;;;01/19/2026 15:00;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
